ID,中文名,价格
28388,巅峰自修加倍水,10
58181,记忆天书（空）,1
58133,头极明符,500
28233,气血涌现丹,1000
31028,腊八粥,500
40331,负重袋,10
40515,乾坤袋,10
58371,网龙银票,100
18119,神悟爪,100
12180,神悟剑,100
11179,神悟刀,100
24077,帝王项链,2000
26101,黯然靴,500
23024,弥补之戒,300
27068,夜行衣,69
40759,易容面具,100
28283,名声丹(名声+2000),5
28284,江湖历练丹(历练+2000),5
48022,挪动时空仪,25
37750,更名金牌,199
58383,武神(攻击+100下线消失),49
58377,铠神(防御+200下线消失),49
31165,万毒蛇王胆,2
28343,思过丹（PK值清零）,10
28170,内力不减丹,5
28143,八脉聚神丹,5
31094,生啤酒(内力+400),2
28255,神行丹,1
58399,杀气天书(空),5
58400,杀气天书(满),10
40270,替身娃娃,20
58636,玄玉,5
63023,学点金牌,10
63024,实战金牌,10
48942,童趣令,50
63522,技能金牌,10
65102,帮主举荐令,999
22028,贪狼护腕,299
27078,巽风战甲,299
26034,艮山靴,299
25026,天魁帽,299
46003,消天残魂膏,1
25092,大锅盖(悟性-24),299
24079,细草绳(悟性-19),299
27281,麻布杉(悟性-5),199
23076,顶针箍(悟性-2),99
11199,砍柴刀(悟性-2),99
24076,钻石项链(福源+4定力+3),149
22103,钻石手链(福源+4),99
23069,钻戒(福源+7),199
25020,玄木簪(福源+5定力+4),69
23008,蓝宝戒,100
28178,悟性丹,100
28179,福缘丹,100
28180,机敏丹,100
28181,定力丹,100
28182,胆识丹,100
28183,臂力丹,100
28184,根骨丹,100
48236,青龙石,100
48237,白虎石,200
48238,朱雀石,300
24004,珍珠项链,10
24005,万金项链,10
